Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,0.38173734445682816,0.14572340015295107
KineticEnergy,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.38173734445682816,0.14572340015295107
KineticEnergy,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.38173734445682816,0.14572340015295107
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3817225364262865,0.14571209481571762
RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3817225364262865,0.14571209481571762
RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3817225364262865,0.14571209481571762
Pressure,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3816451288850715,0.14565300440170284
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.38140748506273225,0.14547166966187833
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,WindSpeed,0.38140748506273214,0.14547166966187824
KineticEnergy,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.38140748506273214,0.14547166966187824
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,WindSpeed,0.3813292548551748,0.14541200060840287
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.380509264749278,0.14478730056003614
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.3773145645311576,0.14236628060733708
AverageParticleSpeed,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3773145645311576,0.14236628060733708
RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3773145645311576,0.14236628060733708
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.3772625405279036,0.1423270244855681
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.3772625405279034,0.14232702448556797
Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3772625405279034,0.14232702448556797
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.37634784424288475,0.14163769986626665
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3763478442428847,0.1416376998662666
RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3763478442428847,0.1416376998662666
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3762934739580658,0.14159677854342953
AverageParticleSpeed,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3760169283593634,0.14138873041281064
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,Temperature,0.37601692835936323,0.1413887304128105
RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.37601692835936323,0.1413887304128105
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.376015627598473,0.14138775219827354
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.3760156275984724,0.14138775219827307
KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3760156275984724,0.14138775219827307
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,Temperature,0.37596319108187604,0.14134832104846723
Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.37596319108187604,0.14134832104846723
Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3759631910818757,0.14134832104846698
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.37596033858745703,0.14134617619079534
RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.3751420661496903,0.14073156979505863
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3751420661496901,0.14073156979505846
RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3751420661496901,0.14073156979505846
Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3750863383492229,0.14068976121622773
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.37499636177057044,0.14062227134116453
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,Temperature,0.3748261398052147,0.14049463508127832
KineticEnergy,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3748261398052147,0.14049463508127832
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3748261398052145,0.1404946350812782
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,0.3747695506069982,0.14045221606217137
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3738963114944863,0.13979845174918196
RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.37326330950957304,0.13932549822603932
AverageParticleSpeed,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.37326330950957287,0.1393254982260392
RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37326330950957287,0.1393254982260392
Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.37316332796176616,0.13925086933550065
AverageParticleSpeed,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.3723729124232641,0.1386615859065839
RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3723729124232641,0.1386615859065839
RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.3723729124232638,0.1386615859065837
Pressure,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.372272222994009,0.13858660801290118
RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.3721817569580185,0.13851926021235753
KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.3717931187577492,0.13823012315561378
RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.3713892162457502,0.1379299499436326
KineticEnergy,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.37101657362644025,0.13765329790550376
AverageParticleSpeed,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3704716939350206,0.1372492760070836
AverageParticleSpeed,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3704716939350206,0.1372492760070836
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,WindSpeed,0.3701388756395037,0.137002787259676
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,WindSpeed,0.3701388756395037,0.137002787259676
Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3701388756395037,0.137002787259676
Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3701388756395037,0.137002787259676
AverageParticleSpeed,Pressure,RainAbsolute,VolumeEquivalentDiameter,WindSpeed,0.37013887563950365,0.13700278725967596
AverageParticleSpeed,Pressure,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.37013887563950365,0.13700278725967596
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.36862872538600233,0.1358871371797087
AverageParticleSpeed,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.36862872538600233,0.1358871371797087
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.36862872538600233,0.1358871371797087
AverageParticleSpeed,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.36862872538600233,0.1358871371797087
RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36862872538600233,0.1358871371797087
RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36862872538600233,0.1358871371797087
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,WindSpeed,0.3682889441037965,0.13563674634908932
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,WindSpeed,0.3682889441037965,0.13563674634908932
Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3682889441037965,0.13563674634908932
Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3682889441037965,0.13563674634908932
Pressure,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.3682889441037964,0.1356367463490893
Pressure,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3682889441037964,0.1356367463490893
AverageParticleSpeed,KineticEnergy,RainAbsolute,VolumeEquivalentDiameter,WindSpeed,0.36780729813373825,0.1352822085604406
AverageParticleSpeed,KineticEnergy,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.36780729813373825,0.1352822085604406
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainRate,WindSpeed,0.3678072981337381,0.1352822085604405
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainRate,WindSpeed,0.3678072981337381,0.1352822085604405
KineticEnergy,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3678072981337381,0.1352822085604405
KineticEnergy,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3678072981337381,0.1352822085604405
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,WindSpeed,0.3674632904885055,0.1350292698566398
KineticEnergy,Pressure,RainAbsolute,RainRate,WindSpeed,0.3674632904885055,0.1350292698566398
KineticEnergy,Pressure,RainAbsolute,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
KineticEnergy,Pressure,RainAccumulated,RainRate,WindSpeed,0.3674632904885055,0.1350292698566398
KineticEnergy,Pressure,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.3665784588070823,0.13437976646137573
RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3665784588070823,0.13437976646137573
RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3665784588070819,0.13437976646137545
Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.36649912134314927,0.13432160594530046
AverageParticleSpeed,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36584042754563795,0.13383921842677518
AverageParticleSpeed,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36584042754563795,0.13383921842677518
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,WindSpeed,0.3657019501582318,0.13373791634953386
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,WindSpeed,0.3657019501582318,0.13373791634953386
KineticEnergy,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3657019501582318,0.13373791634953386
KineticEnergy,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3657019501582318,0.13373791634953386
KineticEnergy,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.3657019501582317,0.13373791634953378
KineticEnergy,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3657019501582317,0.13373791634953378
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,0.3656690721071201,0.13371387029568219
AverageParticleSpeed,Pressure,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.3656690721071201,0.13371387029568219
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,0.3656690721071201,0.13371387029568219
AverageParticleSpeed,Pressure,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3656690721071201,0.13371387029568219
Pressure,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3656690721071201,0.13371387029568219
Pressure,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3656690721071201,0.13371387029568219
RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.36549778255689497,0.13358862905400729
