Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Correlation (r),R²
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3562865098345975,0.12694007709011873
Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,0.3562134404274811,0.12688801514118261
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,0.356213440427481,0.12688801514118256
Humidity,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.356213440427481,0.12688801514118256
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,0.35516624564013893,0.1261430620421115
Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.35516624564013893,0.1261430620421115
Humidity,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.35516624564013893,0.1261430620421115
Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,0.35508995492714945,0.12608887609016503
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,0.3547696953040116,0.12586153670610123
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3547696953040116,0.12586153670610123
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,0.3547696953040115,0.12586153670610115
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,0.35469211921175386,0.125806499430925
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,0.35359476978981547,0.1250292612227126
Humidity,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.35286057236532475,0.12451058352998459
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,WindSpeed,0.35286057236532437,0.12451058352998431
Humidity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.35286057236532437,0.12451058352998431
Humidity,Pressure,RainAbsolute,RainAccumulated,WindSpeed,0.35274150557803097,0.12442656975745606
Humidity,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3515837007756503,0.12361109865110202
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,WindSpeed,0.3511124308567346,0.12327993910212524
AverageParticleSpeed,RainAbsolute,RainRate,SnowDepthIntensity,WindSpeed,0.3472743002679395,0.120599439626587
AverageParticleSpeed,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.3472743002679395,0.120599439626587
RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3472743002679395,0.120599439626587
RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3472743002679395,0.120599439626587
AverageParticleSpeed,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3472743002679394,0.12059943962658691
AverageParticleSpeed,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3472743002679394,0.12059943962658691
Pressure,RainAbsolute,RainRate,SnowDepthIntensity,WindSpeed,0.3468266827375243,0.12028874785871535
Pressure,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.3468266827375243,0.12028874785871535
AverageParticleSpeed,Pressure,RainAbsolute,SnowDepthIntensity,WindSpeed,0.34682668273752404,0.12028874785871516
AverageParticleSpeed,Pressure,RainAccumulated,SnowDepthIntensity,WindSpeed,0.34682668273752404,0.12028874785871516
Pressure,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.34682668273752404,0.12028874785871516
Pressure,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.34682668273752404,0.12028874785871516
AverageParticleSpeed,RainAbsolute,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3458451118326428,0.11960884137853323
AverageParticleSpeed,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3458451118326428,0.11960884137853323
AverageParticleSpeed,RainAbsolute,RainRate,Temperature,WindSpeed,0.34584511183264255,0.11960884137853303
AverageParticleSpeed,RainAccumulated,RainRate,Temperature,WindSpeed,0.34584511183264255,0.11960884137853303
RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.34584511183264255,0.11960884137853303
RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.34584511183264255,0.11960884137853303
AverageParticleSpeed,Pressure,RainAbsolute,Temperature,WindSpeed,0.3453890118067667,0.11929356947685481
AverageParticleSpeed,Pressure,RainAccumulated,Temperature,WindSpeed,0.3453890118067667,0.11929356947685481
Pressure,RainAbsolute,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3453890118067667,0.11929356947685481
Pressure,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3453890118067667,0.11929356947685481
Pressure,RainAbsolute,RainRate,Temperature,WindSpeed,0.3453890118067662,0.11929356947685446
Pressure,RainAccumulated,RainRate,Temperature,WindSpeed,0.3453890118067662,0.11929356947685446
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.34469395733608454,0.11881392422401048
Humidity,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.34469395733608454,0.11881392422401048
Humidity,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.344693957336084,0.11881392422401009
Humidity,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.34458432521399207,0.11873835718318225
AverageParticleSpeed,RainAbsolute,RainIntensity,SnowDepthIntensity,WindSpeed,0.3445602000181291,0.11872173143653313
AverageParticleSpeed,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.3445602000181291,0.11872173143653313
RainAbsolute,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3445602000181291,0.11872173143653313
RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3445602000181291,0.11872173143653313
RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3445602000181287,0.11872173143653286
RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3445602000181287,0.11872173143653286
Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,WindSpeed,0.3441006025199868,0.11840522465461795
Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.3441006025199868,0.11840522465461795
AverageParticleSpeed,KineticEnergy,RainAbsolute,SnowDepthIntensity,WindSpeed,0.3435128089169028,0.11800104988998056
AverageParticleSpeed,KineticEnergy,RainAccumulated,SnowDepthIntensity,WindSpeed,0.3435128089169028,0.11800104988998056
KineticEnergy,RainAbsolute,RainRate,SnowDepthIntensity,WindSpeed,0.3435128089169028,0.11800104988998056
KineticEnergy,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3435128089169028,0.11800104988998056
KineticEnergy,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.3435128089169028,0.11800104988998056
KineticEnergy,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3435128089169028,0.11800104988998056
RainAbsolute,RainIntensity,RainRate,Temperature,WindSpeed,0.3434651673899441,0.11796832121020231
RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.3434651673899441,0.11796832121020231
AverageParticleSpeed,RainAbsolute,RainIntensity,Temperature,WindSpeed,0.34346516738994404,0.11796832121020227
AverageParticleSpeed,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.34346516738994404,0.11796832121020227
RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.34346516738994404,0.11796832121020227
RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.34346516738994404,0.11796832121020227
Humidity,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3433858550685799,0.11791384546117975
KineticEnergy,Pressure,RainAbsolute,SnowDepthIntensity,WindSpeed,0.34304806037313135,0.11768197172576757
KineticEnergy,Pressure,RainAccumulated,SnowDepthIntensity,WindSpeed,0.34304806037313135,0.11768197172576757
Pressure,RainAbsolute,RainIntensity,Temperature,WindSpeed,0.34299894269777087,0.1176482746917887
Pressure,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.34299894269777087,0.1176482746917887
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.3429359567363003,0.11760507042264162
KineticEnergy,RainAbsolute,RainRate,Temperature,WindSpeed,0.3424561683560327,0.11727622724509541
KineticEnergy,RainAccumulated,RainRate,Temperature,WindSpeed,0.3424561683560327,0.11727622724509541
AverageParticleSpeed,KineticEnergy,RainAbsolute,Temperature,WindSpeed,0.3424561683560326,0.11727622724509534
AverageParticleSpeed,KineticEnergy,RainAccumulated,Temperature,WindSpeed,0.3424561683560326,0.11727622724509534
KineticEnergy,RainAbsolute,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3424561683560326,0.11727622724509534
KineticEnergy,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3424561683560326,0.11727622724509534
KineticEnergy,Pressure,RainAbsolute,Temperature,WindSpeed,0.34198484978971155,0.11695363748569157
KineticEnergy,Pressure,RainAccumulated,Temperature,WindSpeed,0.34198484978971155,0.11695363748569157
KineticEnergy,RainAbsolute,RainIntensity,SnowDepthIntensity,WindSpeed,0.34061750082895914,0.11602028187096598
KineticEnergy,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.34061750082895914,0.11602028187096598
Humidity,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3403291303836819,0.11582391698771316
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,Temperature,0.3403291303836816,0.11582391698771297
Humidity,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3403291303836816,0.11582391698771297
AverageParticleSpeed,RainAbsolute,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3402784679886758,0.11578943577672025
AverageParticleSpeed,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3402784679886758,0.11578943577672025
AverageParticleSpeed,RainAbsolute,RainRate,SnowDepthIntensity,Temperature,0.3402784679886755,0.11578943577672006
AverageParticleSpeed,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3402784679886755,0.11578943577672006
RainAbsolute,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3402784679886755,0.11578943577672006
RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3402784679886755,0.11578943577672006
Humidity,Pressure,RainAbsolute,RainAccumulated,Temperature,0.3402052427741753,0.11573960721103556
AverageParticleSpeed,Pressure,RainAbsolute,SnowDepthIntensity,Temperature,0.33997429103669835,0.11558251856590568
AverageParticleSpeed,Pressure,RainAccumulated,SnowDepthIntensity,Temperature,0.33997429103669835,0.11558251856590568
Pressure,RainAbsolute,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.33997429103669835,0.11558251856590568
Pressure,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.33997429103669835,0.11558251856590568
Pressure,RainAbsolute,RainRate,SnowDepthIntensity,Temperature,0.33997429103669796,0.11558251856590541
Pressure,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.33997429103669796,0.11558251856590541
KineticEnergy,RainAbsolute,RainIntensity,Temperature,WindSpeed,0.33986504293968633,0.11550824741239483
KineticEnergy,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.33986504293968633,0.11550824741239483
Humidity,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.33983309744230644,0.11548653411723214
Humidity,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3391294996537084,0.11500881753537462
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,Temperature,0.33870252215506375,0.11471939851420145
AverageParticleSpeed,RainAbsolute,RainIntensity,SnowDepthIntensity,Temperature,0.33768445007099807,0.11403078781975239
AverageParticleSpeed,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.33768445007099807,0.11403078781975239
RainAbsolute,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.33768445007099807,0.11403078781975239
RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.33768445007099807,0.11403078781975239
RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3376844500709979,0.11403078781975227
RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3376844500709979,0.11403078781975227
Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,Temperature,0.3373676784608576,0.11381695047006858
Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.3373676784608576,0.11381695047006858
KineticEnergy,RainAbsolute,RainRate,SnowDepthIntensity,Temperature,0.33673515512942376,0.11339056470003708
KineticEnergy,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.33673515512942376,0.11339056470003708
AverageParticleSpeed,KineticEnergy,RainAbsolute,SnowDepthIntensity,Temperature,0.3367351551294237,0.11339056470003704
AverageParticleSpeed,KineticEnergy,RainAccumulated,SnowDepthIntensity,Temperature,0.3367351551294237,0.11339056470003704
KineticEnergy,RainAbsolute,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3367351551294237,0.11339056470003704
KineticEnergy,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3367351551294237,0.11339056470003704
KineticEnergy,Pressure,RainAbsolute,SnowDepthIntensity,Temperature,0.3364133898620552,0.11317396887847915
KineticEnergy,Pressure,RainAccumulated,SnowDepthIntensity,Temperature,0.3364133898620552,0.11317396887847915
Humidity,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.3355130347309831,0.11256899647439386
KineticEnergy,RainAbsolute,RainIntensity,SnowDepthIntensity,Temperature,0.33400974275398165,0.111562508254581
KineticEnergy,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.33400974275398165,0.111562508254581
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3282717163117566,0.10776231973026641
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,0.32827171631175633,0.10776231973026623
RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.32827171631175633,0.10776231973026623
Humidity,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.32826334471910784,0.10775682348617582
AverageParticleSpeed,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,0.3281040481818086,0.10765226643329058
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3281040481818086,0.10765226643329058
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,0.32810404818180855,0.10765226643329055
RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.32685174013678026,0.10683206003044132
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,0.32685174013677976,0.106832060030441
RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.32685174013677976,0.106832060030441
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,0.3266807861561359,0.10672033604359098
AverageParticleSpeed,KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,0.3262850634090703,0.10646194260386103
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3262850634090703,0.10646194260386103
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,0.32628506340907015,0.10646194260386094
KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,0.3261126863855455,0.10634948422159717
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,0.32484368840129396,0.10552342189415696
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,WindSpeed,0.32032249474006497,0.10260650063649895
RadarReflectivity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.32032249474006497,0.10260650063649895
RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.3203224947400648,0.10260650063649884
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,WindSpeed,0.32010327427210217,0.10246610619972067
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.32008541624706943,0.1024546736940597
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,0.32008541624706904,0.10245467369405944
ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.32008541624706904,0.10245467369405944
AverageParticleSpeed,ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,0.3198966580335005,0.10233387182100234
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3198966580335005,0.10233387182100234
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,RainRate,0.31989665803350037,0.10233387182100227
RainAbsolute,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.3194173833025105,0.10202746475582293
RainAccumulated,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.3194173833025105,0.10202746475582293
AverageParticleSpeed,RainAbsolute,SnowDepthIntensity,Temperature,WindSpeed,0.31941738330251046,0.10202746475582289
AverageParticleSpeed,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.31941738330251046,0.10202746475582289
RainAbsolute,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.31941738330251046,0.10202746475582289
RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.31941738330251046,0.10202746475582289
Pressure,RainAbsolute,SnowDepthIntensity,Temperature,WindSpeed,0.3188380019008402,0.10165767145612019
Pressure,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.3188380019008402,0.10165767145612019
RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3187927906324369,0.10162884335921674
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,0.3185480224353493,0.1014728425974718
ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.3185480224353493,0.1014728425974718
ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.31854802243534897,0.1014728425974716
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,RainIntensity,0.31835581457540657,0.10135042467397065
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,WindSpeed,0.31817263289288594,0.10123382432199117
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,0.3179058160543117,0.10106410788115786
AverageParticleSpeed,KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,0.3179058160543113,0.1010641078811576
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3179058160543113,0.1010641078811576
KineticEnergy,ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,0.3177120524614481,0.10094094827926596
RainAbsolute,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.3164453371545703,0.10013765140686967
RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.3164453371545703,0.10013765140686967
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,0.3163536497189683,0.10007963169051168
RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.31532135343542783,0.09942755593234999
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.31532135343542755,0.09942755593234982
RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.31532135343542755,0.09942755593234982
KineticEnergy,RainAbsolute,SnowDepthIntensity,Temperature,WindSpeed,0.31531207871090494,0.09942170698099191
KineticEnergy,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.31531207871090494,0.09942170698099191
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.31512362025008,0.09930289603951663
RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,Temperature,0.31480678064157225,0.09910330913791099
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,Temperature,0.3148067806415721,0.09910330913791088
RadarReflectivity,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3148067806415721,0.09910330913791088
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,Temperature,0.3146082007524073,0.09897831998066701
RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3138596648418385,0.09850788921463122
RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.3133800216018312,0.09820703793916419
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.31329390942691554,0.09815307368400036
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,Temperature,0.31281471919129095,0.09785304854272621
ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.31107678060954236,0.09676876343439735
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,WindSpeed,0.31107678060954197,0.09676876343439711
ParticlesDetected,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.31107678060954197,0.09676876343439711
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,WindSpeed,0.3108343148454968,0.09661797128546942
ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.30943595052351863,0.09575060747639347
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,WindSpeed,0.30874211589420647,0.09532169412683161
ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.30719408692066064,0.0943682070390184
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.30719408692065986,0.09436820703901792
ParticlesDetected,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.30719408692065986,0.09436820703901792
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,Temperature,0.30698407652502047,0.09423922323991962
ParticlesDetected,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.30698407652502047,0.09423922323991962
ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,Temperature,0.30698407652502036,0.09423922323991955
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.3069769976218761,0.0942348770689413
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,Temperature,0.30676660134872674,0.09410574770304864
RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.30649600060014204,0.09393979838388226
RadarReflectivity,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.30619192968848324,0.09375349780635707
ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3056363480429839,0.09341357724505199
ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.30545139085187745,0.0933005521733464
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.3050058687403285,0.09302857996604248
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,Temperature,0.3048171933057846,0.09291352133481606
AverageParticleSpeed,Humidity,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.3022856136258484,0.09137659220515569
AverageParticleSpeed,Humidity,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3022856136258484,0.09137659220515569
RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.3018898227401085,0.09113746507405414
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainRate,0.3018446763739593,0.09111020865530021
AverageParticleSpeed,Humidity,Pressure,RainAccumulated,RainRate,0.3018446763739593,0.09111020865530021
Humidity,Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.3018446763739593,0.09111020865530021
Humidity,Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3018446763739593,0.09111020865530021
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,VolumeEquivalentDiameter,0.301844676373959,0.09111020865530005
AverageParticleSpeed,Humidity,Pressure,RainAccumulated,VolumeEquivalentDiameter,0.301844676373959,0.09111020865530005
AverageParticleSpeed,Humidity,RainAbsolute,RainIntensity,RainRate,0.29967777704869114,0.08980677005684504
AverageParticleSpeed,Humidity,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.29967777704869114,0.08980677005684504
AverageParticleSpeed,Humidity,RainAccumulated,RainIntensity,RainRate,0.29967777704869114,0.08980677005684504
AverageParticleSpeed,Humidity,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.29967777704869114,0.08980677005684504
Humidity,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,0.29967777704869114,0.08980677005684504
Humidity,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.29967777704869114,0.08980677005684504
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainIntensity,0.29922284649213604,0.08953431186285642
AverageParticleSpeed,Humidity,Pressure,RainAccumulated,RainIntensity,0.29922284649213604,0.08953431186285642
Humidity,Pressure,RainAbsolute,RainIntensity,RainRate,0.29922284649213604,0.08953431186285642
Humidity,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.29922284649213604,0.08953431186285642
Humidity,Pressure,RainAccumulated,RainIntensity,RainRate,0.29922284649213604,0.08953431186285642
Humidity,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.29922284649213604,0.08953431186285642
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainRate,0.2987081196351418,0.0892265407359622
AverageParticleSpeed,Humidity,KineticEnergy,RainAccumulated,RainRate,0.2987081196351418,0.0892265407359622
Humidity,KineticEnergy,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.2987081196351418,0.0892265407359622
Humidity,KineticEnergy,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.2987081196351418,0.0892265407359622
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,VolumeEquivalentDiameter,0.2987081196351416,0.08922654073596206
AverageParticleSpeed,Humidity,KineticEnergy,RainAccumulated,VolumeEquivalentDiameter,0.2987081196351416,0.08922654073596206
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,0.29824752933375515,0.08895158875368914
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAccumulated,0.29824752933375515,0.08895158875368914
Humidity,KineticEnergy,Pressure,RainAbsolute,VolumeEquivalentDiameter,0.29824752933375515,0.08895158875368914
Humidity,KineticEnergy,Pressure,RainAccumulated,VolumeEquivalentDiameter,0.29824752933375515,0.08895158875368914
Humidity,KineticEnergy,Pressure,RainAbsolute,RainRate,0.2982475293337549,0.088951588753689
Humidity,KineticEnergy,Pressure,RainAccumulated,RainRate,0.2982475293337549,0.088951588753689
ParticlesDetected,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.2974258429504893,0.08846213205480913
ParticlesDetected,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.2974054268287692,0.08844998790720239
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainIntensity,0.2959538579914385,0.08758868606001653
AverageParticleSpeed,Humidity,KineticEnergy,RainAccumulated,RainIntensity,0.2959538579914385,0.08758868606001653
Humidity,KineticEnergy,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.2959538579914385,0.08758868606001653
