Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Correlation (r),R²
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3749385253503213,0.14057889779187352
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.374938525350321,0.14057889779187333
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3748261398052145,0.1404946350812782
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,0.3747695506069982,0.14045221606217137
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3747695506069982,0.14045221606217137
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3747695506069982,0.14045221606217137
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.37389631149448654,0.13979845174918212
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.37389631149448654,0.13979845174918212
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3738963114944863,0.13979845174918196
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,0.37383751454432534,0.13975448728067866
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.37383751454432534,0.13975448728067866
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,0.3738375145443249,0.13975448728067832
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37326330950957304,0.13932549822603932
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37316332796176616,0.13925086933550065
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.37316332796176577,0.13925086933550035
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37316332796176577,0.13925086933550035
