Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.37065455290629706,0.13738479759016697
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37065455290629706,0.13738479759016697
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37065455290629684,0.1373847975901668
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.3705480104412621,0.1373058280419777
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.3705480104412621,0.1373058280419777
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.3705480104412621,0.1373058280419777
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.36997265702768806,0.13687976694812728
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36997265702768806,0.13687976694812728
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36997265702768795,0.1368797669481272
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.36986615942876316,0.13680097589058324
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36986615942876316,0.13680097589058324
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.36986615942876283,0.13680097589058302
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36649912134314955,0.13432160594530065
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3654977825568946,0.13358862905400698
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3654157104896327,0.13352864147264304
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3654157104896327,0.13352864147264304
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3654157104896326,0.133528641472643
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36534909636158963,0.1334799622122301
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36534909636158963,0.1334799622122301
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3651210133492376,0.13331335438917413
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3650378758190118,0.1332526507824563
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3650378758190116,0.13325265078245613
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3650378758190115,0.13325265078245604
