TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2025-01-02 10:56:18.337,1;2025-01-02 10:56:17.434369;,-97,3.5,5.57871126438034,5.15761303901672
2025-01-02 10:57:20.906,1;2025-01-02 10:57:20.526673;,-104,1.5,3.7079194554601,5.14803600311279
2025-01-02 10:57:57.225,1;2025-01-02 10:57:56.591202;,-98,3.2,6.38794624466962,5.18296360969543
2025-01-02 10:58:39.106,1;2025-01-02 10:58:35.641120;,-105,1.8,5.53947769331878,5.14912462234497
2025-01-02 10:59:10.298,1;2025-01-02 10:59:05.693182;,-105,0.8,7.43780839524439,5.1484580039978
2025-01-02 10:59:20.660,1;2025-01-02 10:59:17.716102;,-101,0.2,22.3885728742615,5.15969920158386
2025-01-02 10:59:25.860,1;2025-01-02 10:59:23.727757;,-101,1.5,44.6194225923975,5.14444899559021
2025-01-02 11:00:07.523,1;2025-01-02 11:00:02.779570;,-101,5.8,5.56840212791703,5.27644681930542
2025-01-02 11:01:25.445,1;2025-01-02 11:01:23.903677;,-99,2.2,2.97733766154134,5.15577125549316
2025-01-02 11:01:30.700,1;2025-01-02 11:01:29.913614;,-105,1.2,44.1475077408426,5.19777989387512
2025-01-02 11:01:51.400,1;2025-01-02 11:01:47.946535;,-105,-1.5,11.2079650341553,5.1461849212646396
2025-01-02 11:02:22.846,1;2025-01-02 11:02:18.000101;,-99,-1.0,7.37780524185712,5.1505103111267
2025-01-02 11:02:54.262,1;2025-01-02 11:02:51.038781;,-99,4.2,7.38464669313066,5.15155410766601
2025-01-02 11:03:09.826,1;2025-01-02 11:03:09.068695;,-105,1.0,14.9061603184569,5.16923332214355
2025-01-02 11:03:30.707,1;2025-01-02 11:03:27.100134;,-107,1.2,11.110675894992,5.17661929130554
2025-01-02 11:03:35.879,1;2025-01-02 11:03:33.110727;,-104,1.8,44.8589056020286,5.1542415618896396
2025-01-02 11:04:27.982,1;2025-01-02 11:04:24.181209;,-101,-4.2,4.45272181795716,5.17731523513793
2025-01-02 11:04:43.661,1;2025-01-02 11:04:42.212131;,-105,1.8,14.7963135975359,5.14413547515869
2025-01-02 11:05:04.434,1;2025-01-02 11:05:00.244522;,-104,0.8,11.168631684109,5.14174771308898
2025-01-02 11:05:56.326,1;2025-01-02 11:05:51.311761;,-101,-1.8,4.47078811671836,5.14110541343689
2025-01-02 11:06:12.086,1;2025-01-02 11:06:09.344406;,-101,-4.8,14.720719995395,5.15969729423522
2025-01-02 11:06:17.244,1;2025-01-02 11:06:15.356307;,-102,-4.5,44.9861327682828,5.13910746574401
2025-01-02 11:06:27.724,1;2025-01-02 11:06:27.377884;,-105,-0.5,22.1359904569505,5.26677227020263
2025-01-02 11:06:43.226,1;2025-01-02 11:06:39.398272;,-104,0.5,14.9663160176213,5.15003371238708
2025-01-02 11:07:19.694,1;2025-01-02 11:07:18.447006;,-101,4.0,6.36167921780908,5.15126204490661
2025-01-02 11:08:01.286,1;2025-01-02 11:08:00.521368;,-99,2.0,5.5779415705552,5.28909945487976
2025-01-02 11:08:42.785,1;2025-01-02 11:08:39.571787;,-101,2.2,5.59058190399876,5.1588454246521
2025-01-02 11:09:08.926,1;2025-01-02 11:09:03.615859;,-102,2.8,8.8748077637375,5.2499132156372
2025-01-02 11:09:14.138,1;2025-01-02 11:09:09.627689;,-105,1.5,44.5157327542332,5.16805291175842
2025-01-02 11:10:16.399,1;2025-01-02 11:10:12.719089;,-104,1.5,3.72624167624118,5.14827632904052
2025-01-02 11:10:47.592,1;2025-01-02 11:10:42.772853;,-102,1.2,7.43756610195789,5.14297294616699
2025-01-02 11:10:57.974,1;2025-01-02 11:10:54.794328;,-99,1.5,22.3461619729007,5.14251923561096
2025-01-02 11:12:05.457,1;2025-01-02 11:12:03.897123;,-104,1.8,3.43789558951718,5.15913152694702
2025-01-02 11:12:10.614,1;2025-01-02 11:12:09.909000;,-104,-0.8,44.988772115537,5.14690589904785
2025-01-02 11:12:21.040,1;2025-01-02 11:12:15.920726;,-109,1.2,22.2531254542312,5.15511655807495
2025-01-02 11:13:39.169,1;2025-01-02 11:13:37.029474;,-101,2.8,2.96942106265776,5.17735457420349
2025-01-02 11:14:15.498,1;2025-01-02 11:14:13.093296;,-104,1.2,6.3860981256162,5.18554878234863
2025-01-02 11:15:02.298,1;2025-01-02 11:14:58.151579;,-107,2.0,4.95728203432229,5.1378481388092
2025-01-02 11:15:12.644,1;2025-01-02 11:15:10.173379;,-107,2.5,22.4252162798632,5.14983367919921
2025-01-02 11:17:17.870,1;2025-01-02 11:17:13.372066;,-105,0.0,1.85264162767748,5.1509530544281
2025-01-02 11:17:48.996,1;2025-01-02 11:17:46.412364;,-105,4.0,7.45361337334745,5.1977698802948
2025-01-02 11:17:54.266,1;2025-01-02 11:17:52.424148;,-105,2.5,44.0218245578256,5.20837926864624
2025-01-02 11:18:20.181,1;2025-01-02 11:18:16.467987;,-95,2.5,8.95229669289011,5.18442702293396
2025-01-02 11:18:40.937,1;2025-01-02 11:18:40.511861;,-105,2.2,11.177693302576,5.14442229270935
2025-01-02 11:19:22.539,1;2025-01-02 11:19:19.562402;,-107,2.2,5.57663298073346,5.14563035964965
2025-01-02 11:19:53.681,1;2025-01-02 11:19:49.616124;,-103,3.2,7.44974108573564,5.14510989189147
2025-01-02 11:20:51.138,1;2025-01-02 11:20:46.697207;,-105,1.8,4.03781779693501,5.16029143333435
2025-01-02 11:20:56.297,1;2025-01-02 11:20:52.708451;,-101,3.2,44.9656317011232,5.13726711273193
2025-01-02 11:21:01.505,1;2025-01-02 11:20:58.719047;,-101,1.8,44.5530437185758,5.15688562393188
2025-01-02 11:21:11.957,1;2025-01-02 11:21:10.740952;,-105,0.8,22.1953521026688,5.2043330669403
2025-01-02 11:22:14.453,1;2025-01-02 11:22:13.830285;,-107,-1.2,3.71223867061826,5.19310331344604
2025-01-02 11:22:24.828,1;2025-01-02 11:22:19.841795;,-101,4.0,22.361483809455,5.14826846122741
2025-01-02 11:22:29.984,1;2025-01-02 11:22:25.853194;,-105,3.0,44.9948714609973,5.1375343799591
2025-01-02 11:22:45.637,1;2025-01-02 11:22:43.883638;,-105,2.8,14.822325550052,5.19008755683898
2025-01-02 11:23:06.548,1;2025-01-02 11:23:01.916812;,-98,1.8,11.0943708854663,5.24800944328308
2025-01-02 11:23:53.400,1;2025-01-02 11:23:52.988492;,-99,5.2,4.95176231822456,5.14904141426086
2025-01-02 11:24:03.751,1;2025-01-02 11:23:58.999907;,-104,2.5,22.4121162514091,5.14876294136047
2025-01-02 11:24:24.594,1;2025-01-02 11:24:23.041750;,-107,1.5,11.1311182464502,5.14806842803955
