TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2024-12-17 20:51:17.814241,1;2024-12-17 20:51:14.394717;,-107,-5.5,0.054969558700030896,5.148082256317139
2024-12-17 20:54:35.357718,1;2024-12-17 20:54:32.684710;,-107,-0.8,1.174424923436541,5.157751083374023
2024-12-17 20:54:45.823258,1;2024-12-17 20:54:44.707644;,-109,-1.2,22.168016220848706,5.232078790664673
2024-12-17 22:01:29.106815,1;2024-12-17 22:01:25.303669;,-107,0.8,0.05795242734501596,5.164824962615967
2024-12-17 22:02:46.998222,1;2024-12-17 22:02:46.427961;,-104,1.5,2.9785055662108375,5.143743991851807
2024-12-17 22:02:57.489296,1;2024-12-17 22:02:52.439697;,-106,-2.0,22.114053035173598,5.142493009567261
2024-12-17 22:04:04.958546,1;2024-12-17 22:04:01.534546;,-105,-2.8,3.4386088360161087,5.206679105758667
2024-12-17 22:04:20.533552,1;2024-12-17 22:04:19.566707;,-106,-6.0,14.895560741758656,5.157490015029907
2024-12-17 22:05:38.911795,1;2024-12-17 22:05:34.676577;,-110,-2.2,2.960005122798709,5.156072616577148
2024-12-17 22:11:33.055943,1;2024-12-17 22:11:29.221369;,-104,-2.5,0.655100487906801,5.171140432357788
2024-12-17 22:12:46.273310,1;2024-12-17 22:12:44.333071;,-109,-3.0,3.1686517270119112,5.152364015579224
2024-12-17 23:15:23.107121,1;2024-12-17 23:15:21.610718;,-107,-3.8,0.061754127223341344,5.159034013748169
2024-12-17 23:15:54.500857,1;2024-12-17 23:15:51.664691;,-109,-1.5,7.390009687877789,5.147517442703247
2024-12-17 23:17:22.889482,1;2024-12-17 23:17:18.795021;,-105,-0.2,2.6247720958499445,5.145248174667358
2024-12-17 23:23:27.888232,1;2024-12-17 23:23:25.348926;,-107,1.5,0.6356187945435531,5.143922805786133
2024-12-17 23:24:35.723212,1;2024-12-17 23:24:34.451028;,-109,-5.2,3.420059300237404,5.137571096420288
2024-12-17 23:28:35.224119,1;2024-12-17 23:28:31.810976;,-104,-0.2,0.9686810868704644,5.206047773361206
2024-12-17 23:31:32.490611,1;2024-12-17 23:31:32.066676;,-109,-5.5,1.3087639743209705,5.142408132553101
2024-12-18 00:34:44.720810,1;2024-12-18 00:34:42.362422;,-100,2.0,0.06117772071688377,5.152612686157227
