Variable 1,Variable 2,Variable 3,Variable 4,Correlation (r),R²
Humidity,RainAccumulated,RainRate,SnowDepthIntensity,0.27526205272207405,0.07576919766876987
AverageParticleSpeed,Humidity,RainAbsolute,SnowDepthIntensity,0.2752620527220739,0.07576919766876979
AverageParticleSpeed,Humidity,RainAccumulated,SnowDepthIntensity,0.2752620527220739,0.07576919766876979
Humidity,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.2752620527220739,0.07576919766876979
Humidity,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.2752620527220739,0.07576919766876979
Humidity,Pressure,RainAbsolute,SnowDepthIntensity,0.27467700596150996,0.07544745760397938
Humidity,Pressure,RainAccumulated,SnowDepthIntensity,0.27467700596150996,0.07544745760397938
Humidity,RainAbsolute,RainIntensity,SnowDepthIntensity,0.2723618784587704,0.07418099283759003
Humidity,RainAccumulated,RainIntensity,SnowDepthIntensity,0.2723618784587704,0.07418099283759003
Humidity,KineticEnergy,RainAbsolute,SnowDepthIntensity,0.27134698510641814,0.0736291863263427
Humidity,KineticEnergy,RainAccumulated,SnowDepthIntensity,0.27134698510641814,0.0736291863263427
AverageParticleSpeed,Humidity,Pressure,WindSpeed,-0.2693840992081925,0.07256779290620931
Humidity,Pressure,VolumeEquivalentDiameter,WindSpeed,-0.2693840992081925,0.07256779290620931
Humidity,Pressure,RainRate,WindSpeed,-0.2693840992081924,0.07256779290620924
Humidity,Pressure,RainIntensity,WindSpeed,-0.26747697959304245,0.07154393461221685
AverageParticleSpeed,Humidity,VolumeEquivalentDiameter,WindSpeed,-0.2673022708670677,0.07145050401069124
AverageParticleSpeed,Humidity,RainRate,WindSpeed,-0.26730227086706715,0.07145050401069093
Humidity,RainRate,VolumeEquivalentDiameter,WindSpeed,-0.26730227086706715,0.07145050401069093
Humidity,KineticEnergy,Pressure,WindSpeed,-0.2661741010874539,0.07084865208971411
AverageParticleSpeed,Humidity,RainIntensity,WindSpeed,-0.2653959884980263,0.07043503071084452
Humidity,RainIntensity,VolumeEquivalentDiameter,WindSpeed,-0.2653959884980263,0.07043503071084452
Humidity,RainIntensity,RainRate,WindSpeed,-0.26539598849802626,0.07043503071084449
AverageParticleSpeed,Humidity,KineticEnergy,WindSpeed,-0.26409394169431627,0.06974561003964092
Humidity,KineticEnergy,RainRate,WindSpeed,-0.26409394169431627,0.06974561003964092
Humidity,KineticEnergy,VolumeEquivalentDiameter,WindSpeed,-0.26409394169431627,0.06974561003964092
AverageParticleSpeed,Humidity,RainAbsolute,Temperature,0.262703580360711,0.06901317113433654
AverageParticleSpeed,Humidity,RainAccumulated,Temperature,0.262703580360711,0.06901317113433654
Humidity,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.262703580360711,0.06901317113433654
Humidity,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.262703580360711,0.06901317113433654
Humidity,RainAbsolute,RainRate,Temperature,0.26270358036071084,0.06901317113433646
Humidity,RainAccumulated,RainRate,Temperature,0.26270358036071084,0.06901317113433646
Humidity,Pressure,RainAbsolute,Temperature,0.2620474484328515,0.06866886523016796
Humidity,Pressure,RainAccumulated,Temperature,0.2620474484328515,0.06866886523016796
Humidity,KineticEnergy,RainIntensity,WindSpeed,-0.26181765071956925,0.06854848222831436
Humidity,RainAbsolute,RainIntensity,Temperature,0.2602196057210437,0.06771424320161544
Humidity,RainAccumulated,RainIntensity,Temperature,0.2602196057210437,0.06771424320161544
AverageParticleSpeed,RadarReflectivity,RainAbsolute,VolumeEquivalentDiameter,0.25942167042015063,0.06729960308358125
AverageParticleSpeed,RadarReflectivity,RainAccumulated,VolumeEquivalentDiameter,0.25942167042015063,0.06729960308358125
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainRate,0.2594216704201498,0.06729960308358082
AverageParticleSpeed,RadarReflectivity,RainAccumulated,RainRate,0.2594216704201498,0.06729960308358082
RadarReflectivity,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.2594216704201498,0.06729960308358082
RadarReflectivity,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.2594216704201498,0.06729960308358082
Humidity,KineticEnergy,RainAbsolute,Temperature,0.25931154103585724,0.06724247531439108
Humidity,KineticEnergy,RainAccumulated,Temperature,0.25931154103585724,0.06724247531439108
AverageParticleSpeed,Pressure,RadarReflectivity,RainAbsolute,0.2588518781374577,0.06700429481528924
AverageParticleSpeed,Pressure,RadarReflectivity,RainAccumulated,0.2588518781374577,0.06700429481528924
Pressure,RadarReflectivity,RainAbsolute,VolumeEquivalentDiameter,0.2588518781374577,0.06700429481528924
Pressure,RadarReflectivity,RainAccumulated,VolumeEquivalentDiameter,0.2588518781374577,0.06700429481528924
Pressure,RadarReflectivity,RainAbsolute,RainRate,0.25885187813745764,0.06700429481528922
Pressure,RadarReflectivity,RainAccumulated,RainRate,0.25885187813745764,0.06700429481528922
RadarReflectivity,RainAbsolute,RainIntensity,RainRate,0.2568151191102002,0.06595400540358633
RadarReflectivity,RainAccumulated,RainIntensity,RainRate,0.2568151191102002,0.06595400540358633
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainIntensity,0.2568151191101996,0.06595400540358601
AverageParticleSpeed,RadarReflectivity,RainAccumulated,RainIntensity,0.2568151191101996,0.06595400540358601
RadarReflectivity,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.2568151191101996,0.06595400540358601
RadarReflectivity,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.2568151191101996,0.06595400540358601
Pressure,RadarReflectivity,RainAbsolute,RainIntensity,0.25623935500536665,0.06565860705356633
Pressure,RadarReflectivity,RainAccumulated,RainIntensity,0.25623935500536665,0.06565860705356633
KineticEnergy,RadarReflectivity,RainAbsolute,RainRate,0.25575333561727537,0.0654097686793627
KineticEnergy,RadarReflectivity,RainAccumulated,RainRate,0.25575333561727537,0.0654097686793627
AverageParticleSpeed,KineticEnergy,RadarReflectivity,RainAbsolute,0.2557533356172752,0.06540976867936261
AverageParticleSpeed,KineticEnergy,RadarReflectivity,RainAccumulated,0.2557533356172752,0.06540976867936261
KineticEnergy,RadarReflectivity,RainAbsolute,VolumeEquivalentDiameter,0.2557533356172752,0.06540976867936261
KineticEnergy,RadarReflectivity,RainAccumulated,VolumeEquivalentDiameter,0.2557533356172752,0.06540976867936261
KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,0.2551750741693907,0.06511431847735406
KineticEnergy,Pressure,RadarReflectivity,RainAccumulated,0.2551750741693907,0.06511431847735406
KineticEnergy,RadarReflectivity,RainAbsolute,RainIntensity,0.2531463943842593,0.06408309698975094
KineticEnergy,RadarReflectivity,RainAccumulated,RainIntensity,0.2531463943842593,0.06408309698975094
ParticlesDetected,RadarReflectivity,RainAbsolute,RainAccumulated,0.2531274194768797,0.06407349049102423
Humidity,RainAbsolute,SnowDepthIntensity,WindSpeed,0.24876904132683367,0.061886035922671875
Humidity,RainAccumulated,SnowDepthIntensity,WindSpeed,0.24876904132683367,0.061886035922671875
Humidity,Pressure,Temperature,WindSpeed,-0.24751013682861955,0.061261267832921976
Humidity,Pressure,SnowDepthIntensity,WindSpeed,-0.24590065638422295,0.06046713281019169
Humidity,RainRate,Temperature,WindSpeed,-0.24562762931394772,0.06033293228239011
AverageParticleSpeed,Humidity,Temperature,WindSpeed,-0.24562762931394747,0.060332932282389985
Humidity,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.24562762931394747,0.060332932282389985
Humidity,RainIntensity,Temperature,WindSpeed,-0.24390808129807293,0.05949115212250735
Humidity,RainRate,SnowDepthIntensity,WindSpeed,-0.24389446211067178,0.059484508648253914
AverageParticleSpeed,Humidity,SnowDepthIntensity,WindSpeed,-0.24389446211067156,0.0594845086482538
Humidity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,-0.24389446211067156,0.0594845086482538
Humidity,KineticEnergy,Temperature,WindSpeed,-0.24284503506996336,0.058973711058131734
AverageParticleSpeed,ParticlesDetected,RainAbsolute,VolumeEquivalentDiameter,0.24270686640454509,0.05890662299991369
AverageParticleSpeed,ParticlesDetected,RainAccumulated,VolumeEquivalentDiameter,0.24270686640454509,0.05890662299991369
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainRate,0.24270686640454503,0.05890662299991367
AverageParticleSpeed,ParticlesDetected,RainAccumulated,RainRate,0.24270686640454503,0.05890662299991367
ParticlesDetected,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.24270686640454503,0.05890662299991367
ParticlesDetected,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.24270686640454503,0.05890662299991367
ParticlesDetected,Pressure,RainAbsolute,RainRate,0.24208942030885244,0.05860728742547622
ParticlesDetected,Pressure,RainAccumulated,RainRate,0.24208942030885244,0.05860728742547622
AverageParticleSpeed,ParticlesDetected,Pressure,RainAbsolute,0.24208942030885242,0.058607287425476204
AverageParticleSpeed,ParticlesDetected,Pressure,RainAccumulated,0.24208942030885242,0.058607287425476204
ParticlesDetected,Pressure,RainAbsolute,VolumeEquivalentDiameter,0.24208942030885242,0.058607287425476204
ParticlesDetected,Pressure,RainAccumulated,VolumeEquivalentDiameter,0.24208942030885242,0.058607287425476204
Humidity,RainIntensity,SnowDepthIntensity,WindSpeed,-0.2412783254509413,0.05821523033241035
ParticlesDetected,RainAbsolute,RainIntensity,RainRate,0.24005325328884347,0.057625564414557635
ParticlesDetected,RainAccumulated,RainIntensity,RainRate,0.24005325328884347,0.057625564414557635
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainIntensity,0.24005325328884267,0.057625564414557254
AverageParticleSpeed,ParticlesDetected,RainAccumulated,RainIntensity,0.24005325328884267,0.057625564414557254
ParticlesDetected,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.24005325328884267,0.057625564414557254
ParticlesDetected,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.24005325328884267,0.057625564414557254
Humidity,KineticEnergy,SnowDepthIntensity,WindSpeed,-0.23996685570906226,0.05758409183889391
ParticlesDetected,Pressure,RainAbsolute,RainIntensity,0.23943120583330366,0.05732730232678982
ParticlesDetected,Pressure,RainAccumulated,RainIntensity,0.23943120583330366,0.05732730232678982
AverageParticleSpeed,KineticEnergy,ParticlesDetected,RainAbsolute,0.23892813723305703,0.057086654761658535
AverageParticleSpeed,KineticEnergy,ParticlesDetected,RainAccumulated,0.23892813723305703,0.057086654761658535
KineticEnergy,ParticlesDetected,RainAbsolute,VolumeEquivalentDiameter,0.23892813723305703,0.057086654761658535
KineticEnergy,ParticlesDetected,RainAccumulated,VolumeEquivalentDiameter,0.23892813723305703,0.057086654761658535
KineticEnergy,ParticlesDetected,RainAbsolute,RainRate,0.2389281372330555,0.05708665476165781
KineticEnergy,ParticlesDetected,RainAccumulated,RainRate,0.2389281372330555,0.05708665476165781
KineticEnergy,ParticlesDetected,Pressure,RainAbsolute,0.23830413829274705,0.05678886232744871
KineticEnergy,ParticlesDetected,Pressure,RainAccumulated,0.23830413829274705,0.05678886232744871
Humidity,RainAbsolute,SnowDepthIntensity,Temperature,0.23819300547330316,0.05673590785640503
Humidity,RainAccumulated,SnowDepthIntensity,Temperature,0.23819300547330316,0.05673590785640503
AverageParticleSpeed,RadarReflectivity,RainAbsolute,SnowDepthIntensity,0.2366801216395623,0.05601747997931801
AverageParticleSpeed,RadarReflectivity,RainAccumulated,SnowDepthIntensity,0.2366801216395623,0.05601747997931801
RadarReflectivity,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.2366801216395623,0.05601747997931801
RadarReflectivity,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.2366801216395623,0.05601747997931801
RadarReflectivity,RainAbsolute,RainRate,SnowDepthIntensity,0.23668012163956148,0.05601747997931762
RadarReflectivity,RainAccumulated,RainRate,SnowDepthIntensity,0.23668012163956148,0.05601747997931762
KineticEnergy,ParticlesDetected,RainAbsolute,RainIntensity,0.23629619095843277,0.05583588986146412
KineticEnergy,ParticlesDetected,RainAccumulated,RainIntensity,0.23629619095843277,0.05583588986146412
Pressure,RadarReflectivity,RainAbsolute,SnowDepthIntensity,0.2360634946000499,0.055725973482787794
Pressure,RadarReflectivity,RainAccumulated,SnowDepthIntensity,0.2360634946000499,0.055725973482787794
Humidity,RainAbsolute,Temperature,WindSpeed,0.23564593942232176,0.05552900876622854
Humidity,RainAccumulated,Temperature,WindSpeed,0.23564593942232176,0.05552900876622854
AverageParticleSpeed,RadarReflectivity,RainAbsolute,Temperature,0.23479066724463957,0.055126657425183065
AverageParticleSpeed,RadarReflectivity,RainAccumulated,Temperature,0.23479066724463957,0.055126657425183065
RadarReflectivity,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.23479066724463957,0.055126657425183065
RadarReflectivity,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.23479066724463957,0.055126657425183065
RadarReflectivity,RainAbsolute,RainRate,Temperature,0.23479066724463923,0.055126657425182905
RadarReflectivity,RainAccumulated,RainRate,Temperature,0.23479066724463923,0.055126657425182905
RadarReflectivity,RainAbsolute,RainIntensity,SnowDepthIntensity,0.23425063812779365,0.05487336146327853
RadarReflectivity,RainAccumulated,RainIntensity,SnowDepthIntensity,0.23425063812779365,0.05487336146327853
RadarReflectivity,RainAbsolute,RainRate,WindSpeed,0.23418279670767275,0.05484158227382718
RadarReflectivity,RainAccumulated,RainRate,WindSpeed,0.23418279670767275,0.05484158227382718
AverageParticleSpeed,RadarReflectivity,RainAbsolute,WindSpeed,0.2341827967076725,0.054841582273827065
AverageParticleSpeed,RadarReflectivity,RainAccumulated,WindSpeed,0.2341827967076725,0.054841582273827065
RadarReflectivity,RainAbsolute,VolumeEquivalentDiameter,WindSpeed,0.2341827967076725,0.054841582273827065
RadarReflectivity,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.2341827967076725,0.054841582273827065
Pressure,RadarReflectivity,RainAbsolute,Temperature,0.23415954985387508,0.054830694787769405
Pressure,RadarReflectivity,RainAccumulated,Temperature,0.23415954985387508,0.054830694787769405
Pressure,RadarReflectivity,RainAbsolute,WindSpeed,0.23343507606849256,0.05449193473910291
Pressure,RadarReflectivity,RainAccumulated,WindSpeed,0.23343507606849256,0.05449193473910291
KineticEnergy,RadarReflectivity,RainAbsolute,SnowDepthIntensity,0.23330362510410993,0.054430581486719073
KineticEnergy,RadarReflectivity,RainAccumulated,SnowDepthIntensity,0.23330362510410993,0.054430581486719073
RadarReflectivity,RainAbsolute,RainIntensity,Temperature,0.23240143138454902,0.054010425309587246
RadarReflectivity,RainAccumulated,RainIntensity,Temperature,0.23240143138454902,0.054010425309587246
RadarReflectivity,RainAbsolute,RainIntensity,WindSpeed,0.23151622858962653,0.053599764100364204
RadarReflectivity,RainAccumulated,RainIntensity,WindSpeed,0.23151622858962653,0.053599764100364204
KineticEnergy,RadarReflectivity,RainAbsolute,Temperature,0.23144483578375008,0.05356671201096704
KineticEnergy,RadarReflectivity,RainAccumulated,Temperature,0.23144483578375008,0.05356671201096704
KineticEnergy,RadarReflectivity,RainAbsolute,WindSpeed,0.23042126133082388,0.05309395767328783
KineticEnergy,RadarReflectivity,RainAccumulated,WindSpeed,0.23042126133082388,0.05309395767328783
Humidity,SnowDepthIntensity,Temperature,WindSpeed,-0.22712298127488356,0.05158484862319111
AverageParticleSpeed,ParticlesDetected,RainAbsolute,SnowDepthIntensity,0.22157007975655588,0.04909330024332653
AverageParticleSpeed,ParticlesDetected,RainAccumulated,SnowDepthIntensity,0.22157007975655588,0.04909330024332653
ParticlesDetected,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.22157007975655588,0.04909330024332653
ParticlesDetected,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.22157007975655588,0.04909330024332653
ParticlesDetected,RainAbsolute,RainRate,SnowDepthIntensity,0.22157007975655496,0.04909330024332613
ParticlesDetected,RainAccumulated,RainRate,SnowDepthIntensity,0.22157007975655496,0.04909330024332613
ParticlesDetected,Pressure,RainAbsolute,SnowDepthIntensity,0.2209207490248103,0.04880597734968322
ParticlesDetected,Pressure,RainAccumulated,SnowDepthIntensity,0.2209207490248103,0.04880597734968322
AverageParticleSpeed,ParticlesDetected,RainAbsolute,Temperature,0.22001644185086902,0.04840723468471683
AverageParticleSpeed,ParticlesDetected,RainAccumulated,Temperature,0.22001644185086902,0.04840723468471683
ParticlesDetected,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.22001644185086902,0.04840723468471683
ParticlesDetected,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.22001644185086902,0.04840723468471683
ParticlesDetected,RainAbsolute,RainRate,Temperature,0.22001644185086885,0.048407234684716756
ParticlesDetected,RainAccumulated,RainRate,Temperature,0.22001644185086885,0.048407234684716756
ParticlesDetected,Pressure,RainAbsolute,Temperature,0.21935185249158726,0.04811523519149105
ParticlesDetected,Pressure,RainAccumulated,Temperature,0.21935185249158726,0.04811523519149105
ParticlesDetected,RainAbsolute,RainIntensity,SnowDepthIntensity,0.2191350747147841,0.04802018097025401
ParticlesDetected,RainAccumulated,RainIntensity,SnowDepthIntensity,0.2191350747147841,0.04802018097025401
KineticEnergy,ParticlesDetected,RainAbsolute,SnowDepthIntensity,0.2181464776009251,0.04758788568969091
KineticEnergy,ParticlesDetected,RainAccumulated,SnowDepthIntensity,0.2181464776009251,0.04758788568969091
ParticlesDetected,RainAbsolute,RainIntensity,Temperature,0.21759512619847035,0.04734763894532824
ParticlesDetected,RainAccumulated,RainIntensity,Temperature,0.21759512619847035,0.04734763894532824
KineticEnergy,ParticlesDetected,RainAbsolute,Temperature,0.21658764092570046,0.04691020620176015
KineticEnergy,ParticlesDetected,RainAccumulated,Temperature,0.21658764092570046,0.04691020620176015
ParticlesDetected,RainAbsolute,RainRate,WindSpeed,0.216031598819421,0.046669651688475255
ParticlesDetected,RainAccumulated,RainRate,WindSpeed,0.216031598819421,0.046669651688475255
AverageParticleSpeed,ParticlesDetected,RainAbsolute,WindSpeed,0.21603159881942074,0.04666965168847515
AverageParticleSpeed,ParticlesDetected,RainAccumulated,WindSpeed,0.21603159881942074,0.04666965168847515
ParticlesDetected,RainAbsolute,VolumeEquivalentDiameter,WindSpeed,0.21603159881942074,0.04666965168847515
ParticlesDetected,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.21603159881942074,0.04666965168847515
ParticlesDetected,Pressure,RainAbsolute,WindSpeed,0.2152489387885811,0.04633210564961033
ParticlesDetected,Pressure,RainAccumulated,WindSpeed,0.2152489387885811,0.04633210564961033
RadarReflectivity,RainAbsolute,SnowDepthIntensity,Temperature,0.21406106684745344,0.04582214033986993
RadarReflectivity,RainAccumulated,SnowDepthIntensity,Temperature,0.21406106684745344,0.04582214033986993
ParticlesDetected,RainAbsolute,RainIntensity,WindSpeed,0.21339395944493417,0.045536981927586206
ParticlesDetected,RainAccumulated,RainIntensity,WindSpeed,0.21339395944493417,0.045536981927586206
KineticEnergy,ParticlesDetected,RainAbsolute,WindSpeed,0.21227256154054724,0.04505964038298542
KineticEnergy,ParticlesDetected,RainAccumulated,WindSpeed,0.21227256154054724,0.04505964038298542
RadarReflectivity,RainAbsolute,SnowDepthIntensity,WindSpeed,0.21125729417283465,0.0446296443412276
RadarReflectivity,RainAccumulated,SnowDepthIntensity,WindSpeed,0.21125729417283465,0.0446296443412276
RainAbsolute,RainAccumulated,RainRate,WeatherCode4680,0.2100137374596382,0.04410576992176584
AverageParticleSpeed,RainAbsolute,RainAccumulated,WeatherCode4680,0.21001373745963797,0.04410576992176574
RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WeatherCode4680,0.21001373745963797,0.04410576992176574
Pressure,RainAbsolute,RainAccumulated,WeatherCode4680,0.2096993973882472,0.043973837264994015
RadarReflectivity,RainAbsolute,Temperature,WindSpeed,0.2091849945530397,0.043758361946155254
RadarReflectivity,RainAccumulated,Temperature,WindSpeed,0.2091849945530397,0.043758361946155254
RainAbsolute,RainAccumulated,RainIntensity,WeatherCode4680,0.20905350378902005,0.043703367446465816
KineticEnergy,RainAbsolute,RainAccumulated,WeatherCode4680,0.20872795138441752,0.04356735768913576
AverageParticleSpeed,Humidity,Pressure,VolumeEquivalentDiameter,-0.2081044296329238,0.043307453632844536
AverageParticleSpeed,Humidity,Pressure,RainRate,-0.2081044296329237,0.04330745363284449
Humidity,Pressure,RainRate,VolumeEquivalentDiameter,-0.2081044296329237,0.04330745363284449
AverageParticleSpeed,Humidity,Pressure,RainIntensity,-0.20651844182548318,0.04264986681402548
Humidity,Pressure,RainIntensity,VolumeEquivalentDiameter,-0.20651844182548318,0.04264986681402548
Humidity,Pressure,RainIntensity,RainRate,-0.2065184418254831,0.042649866814025446
Humidity,KineticEnergy,Pressure,RainRate,-0.20540895175009322,0.042192837459072124
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,-0.2054089517500931,0.042192837459072076
Humidity,KineticEnergy,Pressure,VolumeEquivalentDiameter,-0.2054089517500931,0.042192837459072076
AverageParticleSpeed,Humidity,RainRate,VolumeEquivalentDiameter,-0.20485465895004393,0.041965431293538816
Humidity,KineticEnergy,Pressure,RainIntensity,-0.20345097221806277,0.04139229809647495
AverageParticleSpeed,Humidity,RainIntensity,RainRate,-0.20330537108128333,0.041333073910498314
Humidity,RainIntensity,RainRate,VolumeEquivalentDiameter,-0.20330537108128333,0.041333073910498314
AverageParticleSpeed,Humidity,RainIntensity,VolumeEquivalentDiameter,-0.20330537108128324,0.04133307391049828
Pressure,RainRate,Temperature,WindSpeed,-0.20289960291415074,0.041168248862720046
AverageParticleSpeed,Pressure,Temperature,WindSpeed,-0.2028996029141507,0.04116824886272004
Pressure,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.2028996029141507,0.04116824886272004
AverageParticleSpeed,Humidity,KineticEnergy,RainRate,-0.2022136724229584,0.040890369314779525
Humidity,KineticEnergy,RainRate,VolumeEquivalentDiameter,-0.2022136724229584,0.040890369314779525
AverageParticleSpeed,Humidity,KineticEnergy,VolumeEquivalentDiameter,-0.2022136724229583,0.04089036931477948
Pressure,RainIntensity,Temperature,WindSpeed,-0.20174461943532096,0.040700891471102486
RainAbsolute,RainAccumulated,SnowDepthIntensity,WeatherCode4680,0.20173294256911767,0.040696180117594925
ParticlesDetected,RainAbsolute,SnowDepthIntensity,Temperature,0.20066367225978488,0.04026590936478236
ParticlesDetected,RainAccumulated,SnowDepthIntensity,Temperature,0.20066367225978488,0.04026590936478236
AverageParticleSpeed,Humidity,KineticEnergy,RainIntensity,-0.2002976460594605,0.040119147016960906
Humidity,KineticEnergy,RainIntensity,VolumeEquivalentDiameter,-0.2002976460594605,0.040119147016960906
Humidity,KineticEnergy,RainIntensity,RainRate,-0.20029764605946004,0.04011914701696073
KineticEnergy,Pressure,Temperature,WindSpeed,-0.20005174607347562,0.040020701107046364
RainAbsolute,RainAccumulated,Temperature,WeatherCode4680,0.20001599861417807,0.04000639970162689
AverageParticleSpeed,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.19947541440039077,0.039790440950207624
AverageParticleSpeed,RainRate,Temperature,WindSpeed,-0.19947541440039065,0.03979044095020758
RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.19947541440039065,0.03979044095020758
RainAbsolute,RainAccumulated,WeatherCode4680,WindSpeed,0.19901544606115018,0.039607147770918574
RainIntensity,RainRate,Temperature,WindSpeed,-0.19833133986842616,0.03933532037400517
AverageParticleSpeed,RainIntensity,Temperature,WindSpeed,-0.19833133986842613,0.03933532037400516
RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.19833133986842613,0.03933532037400516
KineticEnergy,RainRate,Temperature,WindSpeed,-0.19664502779913465,0.038669266958122436
AverageParticleSpeed,KineticEnergy,Temperature,WindSpeed,-0.19664502779913462,0.03866926695812243
KineticEnergy,Temperature,VolumeEquivalentDiameter,WindSpeed,-0.19664502779913462,0.03866926695812243
ParticlesDetected,RainAbsolute,SnowDepthIntensity,WindSpeed,0.1952240614586945,0.03811243417242813
ParticlesDetected,RainAccumulated,SnowDepthIntensity,WindSpeed,0.1952240614586945,0.03811243417242813
KineticEnergy,RainIntensity,Temperature,WindSpeed,-0.19470606687538045,0.03791045247808012
ParticlesDetected,RainAbsolute,Temperature,WindSpeed,0.19335959842973313,0.03738793430490765
ParticlesDetected,RainAccumulated,Temperature,WindSpeed,0.19335959842973313,0.03738793430490765
AverageParticleSpeed,Humidity,Pressure,Temperature,-0.19034124278495737,0.036229788704922085
Humidity,Pressure,Temperature,VolumeEquivalentDiameter,-0.19034124278495737,0.036229788704922085
Humidity,Pressure,RainRate,Temperature,-0.19034124278495734,0.03622978870492208
Humidity,Pressure,RainIntensity,Temperature,-0.18906194651179506,0.035744419618828856
Humidity,KineticEnergy,Pressure,Temperature,-0.1882306833916029,0.03543079017006985
AverageParticleSpeed,Humidity,Temperature,VolumeEquivalentDiameter,-0.18777932054176852,0.03526107322312825
AverageParticleSpeed,Humidity,RainRate,Temperature,-0.1877793205417684,0.03526107322312821
Humidity,RainRate,Temperature,VolumeEquivalentDiameter,-0.1877793205417684,0.03526107322312821
Humidity,Pressure,RainRate,SnowDepthIntensity,-0.18751514938169905,0.03516193124764091
AverageParticleSpeed,Humidity,Pressure,SnowDepthIntensity,-0.18751514938169903,0.0351619312476409
Humidity,Pressure,SnowDepthIntensity,VolumeEquivalentDiameter,-0.18751514938169903,0.0351619312476409
Humidity,RainIntensity,RainRate,Temperature,-0.18652679920528378,0.034792246821768257
AverageParticleSpeed,Humidity,RainIntensity,Temperature,-0.1865267992052837,0.03479224682176822
Humidity,RainIntensity,Temperature,VolumeEquivalentDiameter,-0.1865267992052837,0.03479224682176822
Humidity,KineticEnergy,RainRate,Temperature,-0.1857077269915882,0.034487359864382255
AverageParticleSpeed,Humidity,KineticEnergy,Temperature,-0.18570772699158808,0.034487359864382214
Humidity,KineticEnergy,Temperature,VolumeEquivalentDiameter,-0.18570772699158808,0.034487359864382214
Humidity,Pressure,RainIntensity,SnowDepthIntensity,-0.18535008255934793,0.03435465310475709
AverageParticleSpeed,Humidity,RainRate,SnowDepthIntensity,-0.1847117475983954,0.034118429700853325
Humidity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,-0.1847117475983954,0.034118429700853325
AverageParticleSpeed,Humidity,SnowDepthIntensity,VolumeEquivalentDiameter,-0.1847117475983952,0.034118429700853256
Humidity,KineticEnergy,Pressure,SnowDepthIntensity,-0.18426978204806904,0.03395535257604287
Humidity,KineticEnergy,RainIntensity,Temperature,-0.1842666780630112,0.03395420864437741
Humidity,RainIntensity,RainRate,SnowDepthIntensity,-0.18259056255149703,0.03333931353287215
AverageParticleSpeed,Humidity,RainIntensity,SnowDepthIntensity,-0.18259056255149667,0.03333931353287202
Humidity,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,-0.18259056255149667,0.03333931353287202
Humidity,KineticEnergy,RainRate,SnowDepthIntensity,-0.18152784556013732,0.03295235871370507
AverageParticleSpeed,Humidity,KineticEnergy,SnowDepthIntensity,-0.18152784556013687,0.0329523587137049
Humidity,KineticEnergy,SnowDepthIntensity,VolumeEquivalentDiameter,-0.18152784556013687,0.0329523587137049
Humidity,KineticEnergy,RainIntensity,SnowDepthIntensity,-0.17928538795270807,0.03214325033335304
Pressure,SnowDepthIntensity,Temperature,WindSpeed,-0.17898924057543925,0.032037148241772465
Pressure,RainIntensity,RainRate,WindSpeed,-0.1786626059921342,0.031920326779900594
AverageParticleSpeed,Pressure,RainIntensity,WindSpeed,-0.1786626059921341,0.03192032677990055
Pressure,RainIntensity,VolumeEquivalentDiameter,WindSpeed,-0.1786626059921341,0.03192032677990055
