Variable 1,Variable 2,Variable 3,Correlation (r),R²
ParticlesDetected,RainAbsolute,WindSpeed,0.1354792817013815,0.01835463577032228
SnowDepthIntensity,RainIntensity,WindSpeed,-0.13385255514507505,0.017916506518865356
SnowDepthIntensity,ParticlesDetected,RainAbsolute,0.13280267683429806,0.017636550974355004
SnowDepthIntensity,RainAccumulated,ParticlesDetected,0.13280267683429803,0.017636550974354997
Pressure,ParticlesDetected,WindSpeed,-0.13258182821535894,0.017577941172926947
Temperature,ParticlesDetected,RainAbsolute,0.1316900110917775,0.01734225902135248
Temperature,RainAccumulated,ParticlesDetected,0.13169001109177747,0.017342259021352474
RadarReflectivity,Temperature,WindSpeed,-0.1310254899438143,0.017167679015016583
RainIntensity,ParticlesDetected,WindSpeed,-0.13054536965544353,0.017042093538476397
RainAccumulated,WeatherCode4680,RainAbsolute,0.1300443195367836,0.01691152504378508
Humidity,WeatherCode4680,WindSpeed,-0.12990040112903725,0.01687411421348478
SnowDepthIntensity,ParticlesDetected,WindSpeed,-0.12888889970156903,0.01661234846628112
RadarReflectivity,Pressure,WindSpeed,-0.1240509063887126,0.015388627375861138
RainIntensity,Temperature,Pressure,-0.12370242311590898,0.015302289484747373
RadarReflectivity,RainIntensity,WindSpeed,-0.12210767528707493,0.01491028436401373
Temperature,Humidity,WeatherCode4680,-0.12062090903687653,0.014549403696882441
SnowDepthIntensity,RadarReflectivity,WindSpeed,-0.1203582430763099,0.014486106676416102
RainIntensity,Pressure,WindSpeed,-0.11924669662637079,0.01421977465630171
SnowDepthIntensity,Temperature,Pressure,-0.11858366947086187,0.014062086665174616
Humidity,WeatherCode4680,Pressure,-0.11842643545436372,0.014024820614426578
SnowDepthIntensity,Humidity,WeatherCode4680,-0.1180128290176504,0.013927027812749187
RainIntensity,Humidity,WeatherCode4680,-0.11781921057235466,0.013881366379892847
Humidity,WeatherCode4680,ParticlesDetected,-0.11724163850708273,0.013745601799825464
RadarReflectivity,ParticlesDetected,WindSpeed,-0.11653680878959632,0.013580827802862934
Temperature,Pressure,ParticlesDetected,-0.11539671699258978,0.01331640229266786
SnowDepthIntensity,RainIntensity,Temperature,-0.1141868542501754,0.0130386376835508
Humidity,WindDirection,WeatherCode4680,-0.11379854105700052,0.012950107946701832
RainIntensity,Temperature,ParticlesDetected,-0.11358786187474361,0.012902202365275832
SnowDepthIntensity,Temperature,ParticlesDetected,-0.11327509894149008,0.012831248040204368
RadarReflectivity,Humidity,WeatherCode4680,-0.11189316207947919,0.0125200797201446
Humidity,WindDirection,ParticlesDetected,-0.10902406258587508,0.011886246222728806
WindDirection,WeatherCode4680,ParticlesDetected,-0.10592762545840836,0.011220661835256844
RadarReflectivity,Humidity,WindDirection,-0.10587362885800611,0.011209225287562824
RadarReflectivity,Temperature,ParticlesDetected,-0.10549020909004277,0.011128184213860942
SnowDepthIntensity,Pressure,ParticlesDetected,-0.10523451150145607,0.011074302410950091
RainIntensity,Pressure,ParticlesDetected,-0.10459647208719962,0.01094042197308833
WindDirection,WeatherCode4680,WindSpeed,-0.10442846980324974,0.010905305305448244
RadarReflectivity,Temperature,Pressure,-0.10360572537595254,0.010734146330677296
SnowDepthIntensity,RainIntensity,ParticlesDetected,-0.1036004633496111,0.010733056006254111
RadarReflectivity,WindDirection,WeatherCode4680,-0.10316335880204201,0.01064267859931886
Humidity,WindDirection,WindSpeed,-0.10314177136244242,0.010638224999782347
SnowDepthIntensity,RadarReflectivity,Temperature,-0.10242068247432964,0.010489996198507455
Temperature,WeatherCode4680,WindSpeed,-0.10215433328994629,0.010435507809913428
RadarReflectivity,RainIntensity,Temperature,-0.10199505546216119,0.010402991338729337
WeatherCode4680,ParticlesDetected,WindSpeed,-0.10185562615384648,0.010374568579192136
Temperature,WindDirection,WeatherCode4680,-0.10129513889657758,0.010260705164076945
SnowDepthIntensity,WindDirection,WeatherCode4680,-0.10025367798761228,0.010050799950043855
RadarReflectivity,Pressure,ParticlesDetected,-0.1001565661636228,0.010031337745688151
Temperature,Humidity,WindDirection,-0.10001101839912865,0.01000220380123085
SnowDepthIntensity,RadarReflectivity,ParticlesDetected,-0.09987183074504719,0.009974382576367352
WindDirection,WeatherCode4680,Pressure,-0.0992383072611176,0.009848241628051986
RadarReflectivity,RainIntensity,ParticlesDetected,-0.09921456781765432,0.009843530467243929
RadarReflectivity,WindDirection,ParticlesDetected,-0.09919253245724738,0.009839158495282075
RainIntensity,WindDirection,WeatherCode4680,-0.09913373386274425,0.009827497189569406
SnowDepthIntensity,Humidity,WindDirection,-0.09904732770631706,0.009810373125762564
